YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WD50M,WS50M
2012,4,1,5,22.94,83.25,0,184.24,2.01
2012,4,1,6,24.08,74.56,0,165.84,1.76
2012,4,1,7,27.04,59.75,0,149.86,0.84
2012,4,1,8,30.47,44.75,0,15.64,1.01
2012,4,1,9,34.73,29,0,8.99,2.5
2012,4,1,10,39.1,17.5,0,11.28,3
2012,4,1,11,41.04,14.56,0,6.01,2.84
2012,4,1,12,42.12,13.12,0,352.38,2.83
2012,4,1,13,42.61,12.25,0,339.12,3.07
2012,4,1,14,42.49,11.94,0,328.37,3.32
2012,4,1,15,41.8,12.12,0,319.93,3.73
2012,4,1,16,40.52,12.81,0,314.48,4.24
2012,4,1,17,38.23,14.69,0,305.43,5.08
2012,4,1,18,33.72,20.06,0,294.98,6.33
2012,4,1,19,31.9,23,0,289.63,6.51
2012,4,1,20,30.5,25.94,0,286.28,6.1
2012,4,1,21,29.22,30.56,0,283.06,5.53
2012,4,1,22,27.99,38.19,0,278.72,4.95
2012,4,1,23,26.85,48.62,0,273.19,4.35
2012,4,2,0,25.83,59,0,270.74,3.63
2012,4,2,1,25.01,66.69,0,278.27,2.77
2012,4,2,2,24.4,70.75,0,299.08,1.83
2012,4,2,3,23.93,72.38,0,350.6,1.15
2012,4,2,4,23.51,72.69,0,50.23,1.64
2012,4,2,5,23.14,71.62,0,70.73,2.53
2012,4,2,6,24.14,62.94,0,74.32,2.98
2012,4,2,7,27.11,46.81,0,63.11,2.47
2012,4,2,8,31.61,27.06,0,31.17,3.05
2012,4,2,9,36.11,16.56,0,23.15,3.99
2012,4,2,10,39.58,12.38,0,18.88,3.79
2012,4,2,11,41.36,11.06,0,6.19,3.26
2012,4,2,12,42.44,10.5,0,346.78,3.18
2012,4,2,13,42.84,10.44,0,330.51,3.7
2012,4,2,14,42.65,10.75,0,321.48,4.4
2012,4,2,15,41.8,11.38,0,316.33,5
2012,4,2,16,40.41,12.31,0,313.17,5.55
2012,4,2,17,38.1,14.31,0,306.9,6.31
2012,4,2,18,33.79,19.31,0,298.11,6.98
2012,4,2,19,31.87,22.56,0,290.81,6.55
2012,4,2,20,30.39,27.44,0,280.37,5.77
